instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuran5 2 static 0.09 0.00 0.00 0.03 0.05 13 168 5 31 18
katsuran5 3 static 0.07 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 4 static 0.08 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 5 static 0.13 0.00 0.00 0.03 0.08 13 168 5 31 18
katsuran5 6 static 0.08 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 7 static 0.08 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 8 static 0.08 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 9 static 0.09 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuran5 10 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 11 static 0.08 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 12 static 0.06 0.00 0.00 0.01 0.04 13 168 5 31 18
katsuran5 13 static 0.08 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 14 static 0.08 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 15 static 0.07 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 16 static 0.07 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 17 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 18 static 0.12 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuran5 19 static 0.12 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuran5 20 static 0.13 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuran5 21 static 0.09 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuran5 22 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 23 static 0.09 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuran5 24 static 0.08 0.00 0.00 0.02 0.04 13 168 5 31 18
katsuran5 25 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 26 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuran5 27 static 0.11 0.00 0.00 0.02 0.07 13 168 5 31 18
katsuran5 28 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuran5 29 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 0 static 0.11 0.00 0.00 0.02 0.07 13 168 5 31 18
katsuranh5 1 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 2 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 3 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 4 static 0.10 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 5 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 6 static 0.11 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 7 static 0.13 0.00 0.00 0.03 0.07 13 168 5 31 18
katsuranh5 8 static 0.10 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 9 static 0.13 0.00 0.00 0.03 0.08 13 168 5 31 18
katsuranh5 10 static 0.10 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 11 static 0.13 0.00 0.00 0.03 0.08 13 168 5 31 18
katsuranh5 12 static 0.10 0.00 0.00 0.02 0.05 13 168 5 31 18
katsuranh5 13 static 0.11 0.00 0.00 0.02 0.06 13 168 5 31 18
katsuranh5 14 static 0.09 0.00 0.00 0.02 0.05 13 168 5 31 18
